,Imagename,Sen_Azimuth,Sen_Zenith,Sol_Azimuth,Sol_Zenith
0,S2B_MSIL2A_20190105T171709_N0211_R112_T14SPC_20190105T195000,251.15398644933333,4.164074841391111,160.995392267,58.8459866581
1,S2B_MSIL2A_20190204T171519_N0211_R112_T14SPC_20190204T212559,251.1348998933333,4.160312455792221,156.228935629,53.3982061942
2,S2B_MSIL2A_20190224T171309_N0211_R112_T14SPC_20190224T225142,248.3927151792222,4.092728274456666,153.22135102,47.0241156455
3,S2A_MSIL2A_20190321T171011_N0211_R112_T14SPC_20190322T011533,251.01260166833333,4.1179130819822225,149.481652854,37.5336297517
4,S2B_MSIL2A_20190326T170939_N0211_R112_T14SPC_20190326T231009,250.1739584421111,4.134716935133334,148.661121549,35.5875793098
5,S2A_MSIL2A_20190420T170851_N0211_R112_T14SPC_20190420T213302,252.43926154988893,4.159277028847779,143.049513329,26.5793289518
6,S2B_MSIL2A_20190425T170859_N0211_R112_T14SPC_20190425T215023,252.06975778311113,4.192914294085556,141.54388807,25.0250388738
7,S2B_MSIL2A_20190515T170859_N0212_R112_T14SPC_20190515T214341,252.5472293024444,4.209381891557778,133.785690247,20.1914030672
8,S2A_MSIL2A_20190530T170851_N0212_R112_T14SPC_20190530T213242,251.13489245144441,4.118126776876667,127.210414615,18.262052262
9,S2A_MSIL2A_20190629T170901_N0212_R112_T14SPC_20190629T213103,252.4397268721111,4.156961346842222,120.960941846,18.334276261
10,S2A_MSIL2A_20190719T170901_N0213_R112_T14SPC_20190719T213200,253.25359077366662,4.187482576642221,125.121453574,20.4202239181
11,S2A_MSIL2A_20190818T170851_N0213_R112_T14SPC_20190818T225341,255.1719345158889,4.199831289956666,139.030085191,26.0145362734
12,S2B_MSIL2A_20190902T170849_N0213_R112_T14SPC_20190902T213122,251.39514822288888,4.168055267362222,146.565374044,29.9584284796
13,S2A_MSIL2A_20190907T170851_N0213_R112_T14SPC_20190907T213042,253.05261589033333,4.168655103677778,148.880547538,31.4365060874
14,S2B_MSIL2A_20190912T170859_N0213_R112_T14SPC_20190912T214913,251.10278961922222,4.158301552804444,151.113727345,32.9711539111
15,S2A_MSIL2A_20190917T170941_N0213_R112_T14SPC_20190917T213240,251.96539951944442,4.148613621686667,153.18895466,34.56917551
16,S2A_MSIL2A_20190927T171051_N0213_R112_T14SPC_20190927T212527,252.43165820511115,4.155402559514444,156.896467976,37.8998466483
17,S2B_MSIL2A_20191002T171129_N0213_R112_T14SPC_20191002T213513,250.13801006688885,4.122705181814444,158.492624894,39.6143546784
18,S2A_MSIL2A_20191007T171211_N0213_R112_T14SPC_20191007T214251,253.09246574600002,4.171409579672223,159.936275027,41.3388895243
19,S2B_MSIL2A_20191012T171239_N0213_R112_T14SPC_20191012T210543,250.68798371744444,4.1443167667811105,161.192392226,43.0663089684
20,S2B_MSIL2A_20191022T171349_N0213_R112_T14SPC_20191022T205305,251.11951603033333,4.159210638094445,163.210347971,46.4619864367
21,S2A_MSIL2A_20191027T171421_N0213_R112_T14SPC_20191027T214353,253.16642035599995,4.187492038787777,163.978707191,48.1014582886
22,S2B_MSIL2A_20191101T171449_N0213_R112_T14SPC_20191101T211714,251.02676947988888,4.16068637977,164.559327427,49.6872568194
23,S2B_MSIL2A_20191201T171649_N0213_R112_T14SPC_20191201T195554,249.28968052322222,4.11282267296,165.06735309,57.1285961645
24,S2B_MSIL2A_20191231T171719_N0213_R112_T14SPC_20191231T195711,250.1511176172222,4.127568389968889,161.773216066,59.1640720714
25,S2A_MSIL2A_20200105T171711_N0213_R112_T14SPC_20200105T213735,250.2388553275556,4.095076187336667,161.017456892,58.8701382969
26,S2B_MSIL2A_20200120T171629_N0213_R112_T14SPC_20200120T211825,249.69425687,4.115382919573333,158.632061106,56.9089960684
27,S2A_MSIL2A_20200214T171411_N0214_R112_T14SPC_20200214T214539,249.84792090177774,4.0856882520877775,154.704825538,50.5059137255
